actividades actividad
administraciones administración
administracióneducativas educación
apoyo apoyar
cambio cambiar
ciudadanÍa ciudadanía
comunidades comunidad
comunidadautónomas comunidad
crearemos crear
creación crear
comÚn común
democrática democracia
derechos derecho
derechosa derecho
economÍa economía
económica economía
económico economía
economías economía
educativa educación
enseñanza educación
escolar educación
profesorado educación
alumnado educación
entidades entidad
europeas europa
europea europa
empleos empleo
empresas empresa
espana españa
española españa
espaÑa españa
españoles español
estableceremos establecer
derecho derechos
desarrollaremos desarrollar
familias familia
ficales fiscal
garantizaremos garantizar
europeo europea
econÓmica económica
impulsaremos impulsar
instituciones institución
internacionales internacional
laborales laboral
lucha luchar
lucharcontar luchar
medidas medida
mujeres mujer
necesidades necesidad
objetivos objetivo
oportunidades oportunidad
paÍs país
países país
políticas política
permita permitir
programas programa
propuestas proponer
propuesta proponer
proponemos proponer
profesionales profesional
promoveremos promover
proyectos proyecto
público pública
pÚblico pública
públicos pública
públicas pública
reducción reducir
reforma reformar
reformaremos reformar
salud sanidad
sanitario sanidad
sanitaria sanidad
servicio servicios
sociales social
sostenibilidad sostenible
trabajadores trabajador
